Platted_Name;Subdivision;Document1;Document2;Book;Page
Ridgmar Landing;RIDGMAR LANDING;1978007801;;G;"67"
LISD Elementary School 9 - Bagdad Elementary;LISD ELEMENTARY SCHOOL;9856123;;Q;"123"
Lakeline Ranch Ph 1;LAKELINE RANCH;2002021065;;V;"310"
Leander 2243 Lot 10 Replat;LEANDER 2243;2007012534;;DD;"16"
Mason Creek North Sec 2 Replat Lots 22-23 Blk C;MASON CREEK NORTH;9433698;;L;"111"
Old Town Village Sec 3 Lots 14-19 Blk C And Lots 8-10 Blk F Replat;OLD TOWN VILLAGE;2005099538;;BB;"88"
"High Gabriel West Lots 20, 21, And 35 (Amd)";HIGH GABRIEL;2004034869;;Y;"339"
Saccone;SACCONE;2006042067;;BB;"344"
Live Oak Ranch Resub Tract 10 Block B;LIVE OAK RANCH;8917480;;J;"254"
HEB Leander;HEB LEANDER;2003102221;;;
Live Oak Ranch Lot 4 Block C Replat;LIVE OAK RANCH;200509272;;BB;"17"
High Chaparral Lot 9 Block 8 Resub;HIGH CHAPARRAL;0;;E;"129"
Retreat At Hero Way ;RETREAT AT HERO WAY;2020149467;;;
South San Gabriel Ranches Resub Lot 2;SOUTH SAN GABRIEL RANCHES;9506831;;L;"290"
Reserve At North Fork;RESERVE AT NORTH FORK;2021129352;;;
LISD Elementary School #17;LISD ELEMENTARY SCHOOL;2006059390;;CC;"48"
Live Oak Ranch Sec 1;LIVE OAK RANCH;0;;B;"191"
Leander Heights Sec 3 Lot 14 And 15 Blk A (Resub);LEANDER HEIGHTS;9540652;;M;"145"
Live Oak Ranch Resub Lots 5-7 Block B;LIVE OAK RANCH;2003029600;;X;"145"
South San Gabriel Ranches Lot 3 (Resub);SOUTH SAN GABRIEL RANCHES;9509732;;L;"313"
Crystal Springs Ph 2 Sec 1;CRYSTAL SPRINGS;2019083349;;;
Rancho Sienna Sec 3;RANCHO SIENNA;2014077299;;;
Highlands At Crystal Falls Sec 2 Ph 3B;HIGHLANDS AT CRYSTAL FALLS;2011065392;;;
High Gabriel East Sec 1;HIGH GABRIEL;0;;B;254-255
Rancho Sienna Sec 1;RANCHO SIENNA;2008080360;;;
Mason Creek North Sec 1 Replat;MASON CREEK NORTH;8532763;;G;"211"
Lion Acres;LION ACRES;8415581;;F;"9"
Ridgmar Landing (Blk 2 Lot 30 Resub);RIDGMAR LANDING;8513246;;F;"373"
Ridgmar Landing (Blk 2 Lot 20 Resub);RIDGMAR LANDING;8427052;;F;"117"
North Creek Sec 1;NORTH CREEK;8521765;;G;"87"
Mason Creek Sec 3A;MASON CREEK;9754045;;P;"97"
Westview Meadows Ph 1;WESTVIEW MEADOWS;2002054671;;W;"157"
Ridgmar Landing (Blk 2 Lot 10 Replat);RIDGMAR LANDING;2007023255;;DD;"61"
Stifflemire;STIFFLEMIRE;9654813;;N;"279"
Hazlewood Ph 1A;HAZLEWOOD;2012020723;;;
Oak Ridge Sec 1;OAK RIDGE;8602683;;H;"17"
Villas At Vista Ridge;VILLAS AT VISTA RIDGE;2014024443;;;
Mason Creek Sec 4C;MASON CREEK;9913147;;Q;"345"
Reagans Overlook Ph 3;REAGANS OVERLOOK;2017090494;;;
Leander 61 Ph 2 And 3;LEANDER 61;2020166895;;;
Pecan Creek Ph 2;PECAN CREEK;2014095556;;;
Highlands At Crystal Falls Sec 2 Ph 1;HIGHLANDS AT CRYSTAL FALLS;2006103109;;CC;"276"
Ridge Oaks;RIDGE OAKS;0;;D;"223"
North Creek Sec 2;NORTH CREEK;8621290;;H;"206"
Mason Creek Sec 4B;MASON CREEK;9818919;;P;"286"
High Chaparral;HIGH CHAPARRAL;0;;B;"77"
Woods At Mason Creek 2 Sec 4;WOODS AT MASON CREEK;2004034833;;Y;"335"
Oak Ridge Sec 2;OAK RIDGE;8639757;;H;"344"
Lakeline Ranch Ph 6;LAKELINE RANCH;2006047683;;BB;"386"
Mason Creek North Sec 1 Replat Lots 27-36D 8-33E 40F;MASON CREEK NORTH;8604239;;H;"26"
North Creek Sec 3F;NORTH CREEK;2001008519;;T;"388"
Mason Creek Sec 2C;MASON CREEK;2001026366;;U;"169"
Woods At Mason Creek Sec 1;WOODS AT MASON CREEK;2002020349;;V;"308"
Benbrook Ranch Sec 1 Ph 1;BENBROOK RANCH;2002084474;;W;"295"
Greatwood Ph 2;GREATWOOD;2017026884;;;
Leander Heights Sec 3 Lots 5 And 6 Blk A (Replat);LEANDER HEIGHTS;2008027535;;EE;"247"
Westview Meadows Ph 3;WESTVIEW MEADOWS;2005085716;;AA;"383"
Leander Heights Sec 2;LEANDER HEIGHTS;0;;B;"105"
South San Gabriel Ranches;SOUTH SAN GABRIEL RANCHES;0;;B;"86"
North Creek Sec 3B;NORTH CREEK;199963390;;R;"261"
Stewart Crossing Ph 1;STEWART CROSSING;2016026419;;;
Leander Heights Sec 2 Lot 9 Blk B (Resub);LEANDER HEIGHTS;2001060248;;V;"13"
Leander 61 Ph 2 And 3;LEANDER 61;2020166895;;;
Horizon Park Sec 4;HORIZON PARK;2001016705;;U;"56"
Crystal Springs Ph 3 Sec 2;CRYSTAL SPRINGS;2020093386;;;
Hawkes Landing Ph 3;HAWKES LANDING;2019020453;;;
Horizon Park Sec 2;HORIZON PARK;2000005120;;S;"78"
Marbella Ph 1;MARBELLA;2018012839;;;
Ridgewood South Ph 1;RIDGEWOOD SOUTH;2002009937;;V;"262"
Vista Ridge Amenity Center;VISTA RIDGE;2004071331;;Z;"93"
Crystal Springs Ph 3 Sec 1;CRYSTAL SPRINGS;2020093266;;;
Mason Creek Sec 4A;MASON CREEK;9737827;;O;"358"
Hazlewood Ph 4A;HAZLEWOOD;2015051068;;;
Benbrook Ranch Sec 1 Ph 2;BENBROOK RANCH;2004035111;;Y;"345"
Woods At Mason Creek Sec 1 Lots 9 10 12-15 Block G Amd;WOODS AT MASON CREEK;2004012659;;Y;"226"
Sarita Valley Ph 3;SARITA VALLEY;2013056218;;;
High Gabriel East Sec 3;HIGH GABRIEL;0;;C;"24"
North Creek Sec 3E;NORTH CREEK;2000054204;;T;"1"
South San Gabriel Ranches Lot 3 (Resub);SOUTH SAN GABRIEL RANCHES;9509732;;L;"313"
Greener Acres;GREENER ACRES;2004097623;;;
Lively Tract Ph 2;LIVELY TRACT;2020134123;;;
Horizon Park Sec 3;HORIZON PARK;2001016708;;U;"59"
Westwood Sec 1;WESTWOOD;2000047577;;S;"360"
Lakeline Ranch Ph 3A;LAKELINE RANCH;2004095987;;Z;"279"
Benbrook Ranch Sec 2 Ph 1;BENBROOK RANCH;2006049069;;CC;"3"
Horizon Park Sec 2 Commercial;HORIZON PARK;2007002828;;CC;"342"
Vista Ridge Ph 3;VISTA RIDGE;2005017498;;AA;"48"
Highlands At Crystal Falls Sec 2 Ph 2;HIGHLANDS AT CRYSTAL FALLS;2008015203;;EE;"183"
Rancho Sienna Sec 2;RANCHO SIENNA;2008080447;;;
Highway Village;HIGHWAY VILLAGE;0;;B;"10"
Stewart Crossing Ph 2;STEWART CROSSING;2017109069;;;
Pecan Creek Ph 1;PECAN CREEK;2013083158;;;
Oak Ridge Sec 4;OAK RIDGE;90200828;;J;"324"
Deerbrooke Ph 2 Sec 2;DEERBROOKE;2019119206;;;
Hazlewood Ph 4B;HAZLEWOOD;2015053374;;;
Leander 61 Ph 1;LEANDER 61;2019099320;;;
Merritt Legacy Apartments;MERRITT LEGACY APARTMENTS;;;;
Hazlewood Ph 2A;HAZLEWOOD;2013085594;;;
Village At Leander Station Ph 1 And 3;VILLAGE AT LEANDER STATION;2017071690;;;
Greatwood Ph 4;GREATWOOD;2018060702;;;
Westwood Sec 3;WESTWOOD;2002020080;;V;"304"
Homestead Ph 2;HOMESTEAD;2020160658;;;
Mason Creek Sec 5A;MASON CREEK;9708130;;O;"112"
Woods Of Whitestone Sec 1;WOODS OF WHITESTONE;8814341;;J;"102"
Ridgewood North;RIDGEWOOD NORTH;2001067035;;V;"53"
Kittie Hill Acres;KITTIE HILL ACRES;8419185;;F;"45"
Valley Vista Ph 1;VALLEY VISTA;2018015621;;;
North Creek Sec 3C;NORTH CREEK;199932035;;R;"64"
Mason Creek Sec 5C;MASON CREEK;9737857;;O;"361"
Ridgewood South Ph 2;RIDGEWOOD SOUTH;2003002172;;X;"6"
H And M Industrial Park 2;H&M INDUSTRIAL PARK;2004057119;;Z;"49"
Mason Creek Sec 2B;MASON CREEK;2000029900;;S;"277"
Timberline West;TIMBERLINE WEST;0;;B;"247"
Horizon Park Sec 5;HORIZON PARK;2001055626;;U;"377"
Valley View;VALLEY VIEW;0;;C;"382"
Highway Village Lots 9-11 Replat;HIGHWAY VILLAGE;200586020;;AA;"385"
Leander Heights Sec 3 Lot 9 Blk B (Resub);LEANDER HEIGHTS;199940901;;R;"132"
North Creek Sec 3D;NORTH CREEK;2000003776;;S;"64"
Leander Heights Sec 3 Lots 31 And 32 Blk A (Resub);LEANDER HEIGHTS;200046618;;S;"357"
Oak Creek Ph 3;OAK CREEK;2017002706;;;
Parker Tract Ph 2;PARKER TRACT;2017106276;;;
Rancho Sienna Sec 9;RANCHO SIENNA;2014077554;;;
Leander Heights Sec 3;LEANDER HEIGHTS;0;;B;"130"
Rancho Sienna Sec 8;RANCHO SIENNA;2014099344;;;
Leander Heights Sec 2 Lots 23 And 24 Blk A (Replat);LEANDER HEIGHTS;9835623;;Q;"4"
Leander Heights Sec 1 Lot 5 Blk F (Replat);LEANDER HEIGHTS;9618753;;M;"366"
Wiley Creek Estates Ph 2;WILEY CREEK ESTATES;9132512;;K;"23"
Valley Vista Ph 2;VALLEY VISTA;2019062800;;;
Leander Heights Sec 1 Lot 10 Blk F (Resub);LEANDER HEIGHTS;2004049909;;Z;"22"
"Horizon Park Sec 1 Blocks A, B, R, And T (Amd)";HORIZON PARK;2000018484;;S;"183"
Stehling;STEHLING;2000082499;;T;"255"
Waldarra Estates;WALDARRA ESTATES;9703833;;O;"87"
Mason Creek Sec 1;MASON CREEK;8534538;;G;"241"
Leander Heights Sec 2 Lot 1 Blk B (Resub);LEANDER HEIGHTS;9922079;;R;"23"
H And M Industrial Park;H&M INDUSTRIAL PARK;2002096641;;;
Westwood Sec 4;WESTWOOD;2001059859;;V;"3"
Highlands At Crystal Falls Sec 1 Ph 1;HIGHLANDS AT CRYSTAL FALLS;0;;CC;"224"
Mason Creek Sec 5D;MASON CREEK;9737878;;O;"363"
Walkers Addition To The Original Town Of Leander;WALKERS ADDITION;;190800010G;A;"10"
Leander Heights Sec 1 Lots 17 - 20 Blk A Resub (Corrected Plat);LEANDER HEIGHTS;9645123;;N;"222"
Leander Heights Sec 1 Lots 1-3 Blk F (Resub);LEANDER HEIGHTS;8645276;;I;"6"
Leander Heights Sec 1 Lot 42 Blk B (Amd);LEANDER HEIGHTS;9660521;;N;"351"
High Gabriel West Sec 1;HIGH GABRIEL;0;;B;"184"
Oak Ridge Sec 3B;OAK RIDGE;9855369;;Q;"121"
Rancho Sienna Sec 5B;RANCHO SIENNA;2014033318;;;
Highmeadow Estates Ph 1;HIGHMEADOW ESTATES;9339247;;K;"297"
Lakeline Apartments;LAKELINE APARTMENTS;2003066958;;X;"333"
Wiley Creek Estates Ph 1;WILEY CREEK ESTATES;8914662;;J;"238"
Leander 61 Ph 4;LEANDER 61;2021069400;;;
"Wiley Creek Estates Ph 1, Lot 1 Replat";WILEY CREEK ESTATES;2010054980;;GG;"271"
Greatwood Ph 3;GREATWOOD;2017027462;;;
Vista Ridge Ph 4;VISTA RIDGE;2007076626;;DD;"308"
Leander Library Homestead;LEANDER PUBLIC LIBRARY;2006048667;;BB;"390"
Mason Ranch Ph 2 Sec 4 Amd;MASON RANCH;2018090220;;;
Timberline West;TIMBERLINE WEST;0;;B;"247"
South San Gabriel Ranches Replat Lot 37;SOUTH SAN GABRIEL RANCHES;2007024602;;DD;"68"
Hazlewood Ph 2B;HAZLEWOOD;2013085684;;;
Liberty Heights;LIBERTY HEIGHTS;2020092083;;;
Rancho Sienna Sec 5A;RANCHO SIENNA;2013060667;;;
Mansolo;MANSOLO;2006066087;;CC;"85"
Pecan Creek Ph 3;PECAN CREEK;2015036979;;;
Mason Creek Sec 1 Lots 8 And 9 Block M Amd;MASON CREEK;2001018463;;U;"89"
Hernados Hideaway;HERNADOS HIDEAWAY;0;;B;"69"
Lakeline Ranch Ph 3B;LAKELINE RANCH;2006047528;;BB;"384"
Stillmeadow;STILLMEADOW;8403663;;E;"360"
Leander Heights Sec 1 Lot 22 Blk A (Resub);LEANDER HEIGHTS;8936020;;J;"279"
Oak Ridge Sec 3A;OAK RIDGE;9839442;;Q;"14"
Valley View Resub Lots 13 And 14;VALLEY VIEW;2000011845;;S;"142"
Westwood Sec 2;WESTWOOD;2001018438;;U;"85"
Crystal Springs Ph 2 Sec 2;CRYSTAL SPRINGS;2019083397;;;
Woods At Crystal Falls Sec 1;WOODS AT CRYSTAL FALLS;2004012659;;Y;"226"
Westview Meadows Ph 2;WESTVIEW MEADOWS;2004016725;;Y;"242"
High Gabriel East Sec 2;HIGH GABRIEL;0;;B;"296"
Vista Ridge Commercial Including The Replat Of Lot 1 Shin Oak Estates Sec 1;VISTA RIDGE;2007036063;;DD;"91"
Westwood Sec 5;WESTWOOD;2002045516;;W;"66"
North Creek Sec 3A;NORTH CREEK;9907820;;"0";"323"
Hazlewood Ph 3;HAZLEWOOD;2014078009;;;
Leander Heights Sec 3 Lot 26 Blk A (Resub);LEANDER HEIGHTS;9708174;;"0";"114"
Orchard Drive Mobile Home Community Condominiums;ORCHARD DRIVE;199958856;;;
Old Town Village Sec 2B;OLD TOWN VILLAGE;2001091528;;V;"181"
Highlands At Crystal Falls Sec 1 Ph 4;HIGHLANDS AT CRYSTAL FALLS;2017101111;;;
Old Town Village Sec 2A;OLD TOWN VILLAGE;2001091345;;V;"178"
Whilden Addition;WHILDEN ADDITION;2007022277;;DD;"54"
Reagans Overlook Ph 1;REAGANS OVERLOOK;2014018679;;;
Old Town Village Sec 3;OLD TOWN VILLAGE;2004012830;;Y;"228"
Leander Heights Sec 1 Lots 1 - 3 Block B (Amd);LEANDER HEIGHTS;2008030879;;EE;"257"
Mason Creek Sec 5B;MASON CREEK;2000029901;;S;"279"
Leander Heights Sec 2 Lot 24 Blk B (Resub);LEANDER HEIGHTS;2002029028;;V;"356"
Lakeline Ranch Ph 2;LAKELINE RANCH;2004073314;;Z;"111"
Marbella Ph 2;MARBELLA;2019104144;;;
Leander Heights Sec 1;LEANDER HEIGHTS;0;;B;"102"
Highway Village Unit 2;HIGHWAY VILLAGE;0;;B;"41"
Hawkes Landing Ph 2;HAWKES LANDING;2018037659;;;
Integrated Metal Products;INTEGRATED METAL PRODUCTS;2004073315;;Z;"114"
Mason Creek Sec 2A;MASON CREEK;99702215;;O;"64"
Hawkes Landing Ph 1;HAWKES LANDING;2014070363;;;
Vista Ridge Ph 1;VISTA RIDGE;2002006911;;V;"241"
Highlands At Crystal Falls Commercial Corners;HIGHLANDS AT CRYSTAL FALLS;2008062341;;FF;"15"
Homestead Ph 1;HOMESTEAD;2020028331;;;
High Gabriel West Sec 2;HIGH GABRIEL;0;;B;"242"
Westwood Sec 5 Lots 68-69 Block K Amd;WESTWOOD;2006049061;;CC;"1"
Pleasant Hill Estates;PLEASANT HILL ESTATES;0;;D;"99"
Sarita Valley Ph 2A;SARITA VALLEY;2012095699;;;
Mason Creek Sec 3B;MASON CREEK;9754050;;P;"99"
Overlook Estates Sec 2 Lot 10A Block A (Amd);OVERLOOK ESTATES;2006110878;;CC;"312"
Whitt;WHITT;8520581;;G;"66"
Horizon Lake Ph 1 Sec 1;HORIZON LAKE;2021100628;;;
Reagans Overlook Ph 2;REAGANS OVERLOOK;2014080279;;;
Leander Heights Sec 3 Lots 38 And 39 Blk B (Resub);LEANDER HEIGHTS;9821514;;P;"305"
Pag Leander H1 Ph 1;PAG LEANDER;2020085884;;;
Connies Commercial;CONNIES COMMERCIAL;2000042266;;S;"321"
Leander Heights Sec 2 Hancock Addition Lot 1 Block B (Resub);LEANDER HEIGHTS;0;;E;"219"
Old Town Village Sec 2C;OLD TOWN VILLAGE;2001091677;;V;"183"
"Leander 2243 Subdivision Lots 1A, 1B, 1C Blk A And Lots 2A And 3A Blk A";HERMOSA VILLAGE;2021051838;;S;"2"
Sarita Valley Ph 4;SARITA VALLEY;2014082976;;;
High Chaparral Lot 6 & 7 Amd;HIGH CHAPARRAL;2019006405;;;
Lakeline Northwest Commercial;LAKELINE NORTHWEST COMMERCIAL;2013077737;;;
Leander Heights Sec 3 Lots 3 & 4 Blk A (Replat);LEANDER HEIGHTS;2010023269;;;194-195
Leander 2243 Lot 1-3 Blk A Amd;SENIOR VILLAGE AT LEANDER STATION;0;;;"184"
Sarita Valley Ph 1 Amd;SARITA VALLEY;201200872;;;
Mid-Town Square Sub Replat;MID-TOWN SQUARE;2016107536;;;
The Village (Replat);VILLAGE TOWNHOME ADDITION;2017044638;;;"138"
Overlook Estates Sec 2 Lot 16 Block A (Amd);OVERLOOK ESTATES;2012042289;;;
Heritage Grove Commercial;HERITAGE GROVE COMMERCIAL;2018106375;;;
Reagans Overlook Ph 1 (Blk B Lots 36 & 37 Amd);REAGANS OVERLOOK;2019090398;;;
Palmera Ridge Condos;PALMERA RIDGE CONDOS;2020025364;;;
Leander Heights Sec 3 Blk A Lots 15A & 16 (Amd);LEANDER HEIGHTS;2017035027;;;
Leander Heights Sec 1 (Blk C Lts 19-20 Amd);LEANDER HEIGHTS;2009094106;;;"127"
"Leander Heights Sec 2 Lot 6-a and 6-b Block ""A"" replat of Lot 6 Block A Amd";LEANDER HEIGHTS;2018027549;;;
Integrated Metal Products (Blk A Lt 1A Replat);INTEGRATED METAL PRODUCTS;2016051639;;;114-115
High Gabriel Wes Sec 2 T Lots 18 & 19 (Amd);HIGH GABRIEL;2014050368;;;
Mason Ranch Ph 3 Sec 1;MASON RANCH;201805639;;;
Lively Tract Ph 1 Sec 2 Replat;LIVELY TRACT;2018055344;;;
Ronald Reagan Blvd Church Add;RONALD REAGAN BLVD CHURCH ADD;2018020827;;;
High Chaparral Lot 18 & 19 Blk 3 Amd;HIGH CHAPARRAL;2017099965;;;
Walker Business Park;WALKER BUSINESS PARK;2009091602;;;116-117
South San Gabriel Ranches (Lot 11 Replat);SOUTH SAN GABRIEL RANCHES;0;;;
Kittie Hill Acres Tract 7 Amd;KITTIE HILL ACRES;2020074275;;;
South San Gabriel Ranches (Lot 17 Amd);SOUTH SAN GABRIEL RANCHES;2017022763;;;
Oak Creek Ph 1 Sec 1;OAK CREEK;2015085673;;;
Live Oak Ranch Lot 11 Block D Replat;LIVE OAK RANCH;0;;;"188"
"Stewart Crossing Ph 1 (Blk F Lots 8, 9, 10 Amd)";STEWART CROSSING;2017039423;;;
Magnolia Creek Sec 5;MAGNOLIA CREEK;2013112806;;;
Leander Crossing Ph 2;LEANDER CROSSING;2018012079;;;
St Davids Leander;ST DAVIDS LEANDER;2017024983;;;
NWC Falls At 183A;NWC CRYSTAL FALLS;2013095648;;;
W South Townhomes Sub Amd;WEST SOUTH TOWNHOMES;2019099058;;;
Kittie Hill Acres Tract 6A & 6B Replat;KITTIE HILL ACRES;2015029916;;;
Leander Junction;LEANDER JUNCTION;2018083690;;;
W South Townhomes Sub;SOUTH STREET DUPLEXES;2016110879;;;
Journey Bible Fellowship Sub;JOURNEY BIBLE FELLOWSHIP;2017034117;;;
Northside Meadow Ph 1A Blk N Lot 1 Replat;NORTHSIDE MEADOW;2017051787;;;
"Timberline West Sec 1 (Lts 65, 66 & 67 Amd)";TIMBERLINE WEST;2010056933;;;"278"
Leander Heights Sec 2 (Blk B Lots 21 & 22);LEANDER HEIGHTS;2017096574;;;
Haven Oaks;HAVEN OAKS;2020080893;;;
High Gabriel West (Lts 51-55 Amd);HIGH GABRIEL;2019079795;;;
Lively Tract Ph 1 Sec 2 (Blk Rr Lots 1 & 2 Amd);LIVELY TRACT;2021066478;;;
Tylerville Commercial Blk A Lot 2 Replat;TYLERVILLE COMMERCIAL;2019055373;;;
Kittie Hill Acres Tract 13 Replat;KITTIE HILL ACRES;2016014191;;;"45"
LISD Benbrook Ranch;LISD BENBROOK RANCH;2015075203;;;
"Highway Village Lots 3, 4, 5 & 6 Amd";HIGHWAY VILLAGE;2008060271;;;"7"
Mason Ranch Ph 1 Sec 10;MASON RANCH;2018070223;;;
Rancho Sienna Sec 14 Ph 2;RANCHO SIENNA;0;;;
Mason Ranch Ph 1 Sec 9;MASON RANCH;2018070043;;;
Leander Public Library;LEANDER PUBLIC LIBRARY;2013052028;;;
Village At Leander Station Ph 1 Lot 10 Blk G Amd;VILLAGE AT LEANDER STATION;2019127078;;;
Leander Crossroads;LEANDER CROSSROADS;2020151205;;;
Greener Acres Lot 1 Replat;GREENER ACRES;2013037400;;;
Trailside Oaks;TRAILSIDE OAKS TOWNHOUSES;2018014545;;;
Rancho Sienna Sec 14 Ph 1;RANCHO SIENNA;0;;;
Ridgmar Landing (Blk 2 Lot 12A & 12B  Replat);RIDGMAR LANDING;2015108308;;;67-68
Knight Commercial;KNIGHT COMMERCIAL;2019021315;;;
Veda Leander Sub;VEDA LEANDER;2017044197;;;
Westwood Commercial;WESTWOOD COMMERCIAL;2015005569;;;
Jardin Del Rey Sub;JARDIN DEL REY;2013058274;;;"102"
Parker Tract Ph 1;PARKER TRACT;2016111565;;;
Leander Veterinary Clinic;LEANDER VETERINARY CLINIC;2017044562;;;
Deerbrooke Ph 1 Sec 1 (Blk E Lots 36-40 Amd);DEERBROOKE;2019070417;;;
Leander Heights Sec 1 (Blk C Lts 21 & 22 Amd);LEANDER HEIGHTS;2018105147;;;
Ridgmar Landing (Blk 2 Lot 21A & 21B Replat);RIDGMAR LANDING;2018084314;;;67-68
LISD Camacho Elementary School;LISD CAMACHO;2015072679;;;
Horizon Park Sec 1 Lot 2 Block A Replat;HORIZON PARK;2012104385;;;
Rancho Sienna Sec 4 Ph 1;RANCHO SIENNA;0;;;
Trails At Leander;TRAILS AT LEANDER;201604532;;;
Parkway Crossing Lot 1 Blk A ;PARK AT CRYSTAL FALLS;2015065690;;;
"Leander Heights Sec 2 (BLK A LTS 6A & 6B REPLAT), BLOCK A, Lot 6-A1";LEANDER HEIGHTS;2011084665;;;
Ridgmar Landing (Blk 2 Lot 27A & 27B);RIDGMAR LANDING;2018031061;;;"27"
North Creek Commercial Park (Second Replat);NORTH CREEK APARMENTS (THE CONLEY) (SD);2015044340;;;
Holloway Addition;HOLLOWAY ADDITION;2017028262;;;
Valley Vista East Ph 1 (Condo);VALLEY VISTA EAST CONDO;2018095091;;;
Leander Heights Sec 3 Lots 29 & 30 Blk B Amd (Starlight Village Condo);STARLIGHT VILLAGE;2015109092;;;"130"
Les Industrial Park;LES INDUSTRIAL PARK;2012054128;;;
Trailside Oaks (Blk F Lots 3 & 4 Amd);TRAILSIDE OAKS APARTMENTS;20200023926;;;
Hill Country Bible Church Leander Amended;HILL COUNTRY BIBLE CHURCH LEANDER AMENDED;2021008203;;;
Oak Creek Ph 2 Sec 2;OAK CREEK;2015094763;;;
Highlands At Crystal Falls Sec 2 Ph 3A;HIGHLANDS AT CRYSTAL FALLS;2010058065;;;282-283
"Nwc Crystal Falls At 183A (Lts 2, 3, 4 & 5 Amd)";NWC CRYSTAL FALLS;2016055788;;;
Horizon Park Sec 1 Lot 2 Block A Replat;HORIZON PARK;2012104385;;;
Timberline West Sec 1 (Lts 11 & 12 Replat);TIMBERLINE WEST;0;;;"153"
Leander Heights Sec 2 Lots 26 & 27 (Amd);BLAKE'S BEND PH 1;2020047860;;;
Leander Heights Sec 1 Blk A Lt 23;LEANDER HEIGHTS;2021058409;;;"102"
Mason Ranch Ph 2 Sec 1;MASON RANCH;2014003615;;;
Benbrook Ranch Sec 2 Ph 2A;BENBROOK RANCH;2017017736;;;
Villas At Vista Ridge (Blk B Lots 6-8 Amd);VISTA RIDGE;2015099110;;;
