Platted_Name;Subdivision;Document1;Document2;Book;Page
Bryson Ph 4 Sec 4;BRYSON;2020091901;;;
Bryson Ph 6;BRYSON;2022033480;;;
"Bryson Ph 4, Sec 5";BRYSON;2022136586;;;
Bryson Ph 4 Sec 2 & Ph 3 Sec 1 (LISD);BRYSON;2018089499;;;
"Horizon Lake Ph 3, Sec 1 & 2";HORIZON LAKE;2022110431;;;
Planned Palmera Ridge 12 (Apartments);PALMERA RIDGE APARTMENTS;2022068612;;;
Blockhouse Creek Farm Apartments;BLOCKHOUSE FARM APARTMENTS;;;;
"Edgewood Ph 1, Sec 1";EDGEWOOD;2022102710;;;
Palmera Bluff Sec 3 & 5;PALMERA BLUFF;2021063454;;;
Palmera Ridge Sec 4;PALMERA RIDGE;2017008656;;;
Palmera Ridge Sec 8;PALMERA RIDGE;2018029226;;;
Palmera Bluff Sec 11;PALMERA BLUFF;2020054362;;;
Palmera Bluff Sec 1;PALMERA BLUFF;2019107295;;;
Palmera Bluff Sec 4;PALMERA BLUFF;2023032044;;;
Palmera Bluff Sec 2;PALMERA BLUFF;2023031471;;;
Horizon Lake Ph 4 Sec 1;HORIZON LAKE;2021113361;;;
Overlook Estates Sec 2;OVERLOOK ESTATES;199955659;;R;"213"
Overlook Estates Sec 1;OVERLOOK ESTATES;199955658;;R;"211"
Leander Crossing Ph 3;HILLS AT LEANDER ;2018058519;;;
Leander Crossing Ph 1;LEANDER CROSSING;2015105703;;;
Horizon Lake Ph 1 Sec 3;HORIZON LAKE;2021155420;;;
Rosenbusch Ranch Ph 2;ROSENBUSCH RANCH;2022125044;;;
Parkside Village;PARKSIDE VILLAGE;2021141383;;;
Leander Heights Sec 2 Lot 17 Blk A (Replat) (Maya Townhouses);MAYA TOWNHOUSES;2006100321;;CC;"260"
HEB Leander;HEB LEANDER;2003102221;;;
HEB Leander;HEB LEANDER;2003102221;;;
HEB Leander Subdivision Lot 2A & 2B Blk A Replat;HEB LEANDER;2015064244;;;
Planned Leander Heights Apartment: Leander Heights Sec 2 (Blk A Lots 15 & 16 Amd);LEANDER HEIGHTS APARTMENTS;2014007654;;;
HEB Leander & Northside Meadows (Blk M Lot 3C Replat);HEB LEANDER;2019049397;;;
LISD;LISD;2012059320;;;
The Preserve at Mason Creek Ph 1;PRESERVE AT MASON CREEK;;;<Null>;<Null>
Planned LC Hero Apartments;LC HERO APARTMENTS;;;Y;"364"
Northline;NORTHLINE;2004039382;;Y;"364"
Northline First Rights Of Way And Lot 1 Blk 1;NORTHLINE FIRST RIGHTS OF WAY AND LOT 1 BLK 1;2020035600;;;
Rancho Sienna Sec 14 Ph 1 (Blk P Lt 30 Amd);RANCHO SIENNA;0;;;
Rancho Sienna Sec 12A (Blk K Lts 8-13 Resub);RANCHO SIENNA;0;;;
"Northline Lots 1-21, Block L and Lots 1-15, Block M";NORTHLINE TOWNHOMES;2022068177;;;
"Northline Apartments Blk S, T & U";"NORTHLINE APARTMENTS (BLK S, T & U)";2021165347;;;
"The Fairways Phase 1 at Crystal Falls 2 Lots 27, 28, and 56 Block D Amended";FAIRWAYS AT CRYSTAL FALLS;200700216;"200700216";;
Grand Mesa at Crystal Falls Amended Lt 155 Blk E;GRAND MESA AT CRYSTAL FALLS;;"200800154";;
Grand Mesa at Crystal Falls Amendment Of Lot 11 Amd Plt;GRAND MESA AT CRYSTAL FALLS;;2011050866TR;;
Grand Mesa at Crystal Falls Amd Lts 5 & 6 Blk H;GRAND MESA AT CRYSTAL FALLS;;201100176TR;;
Grand Mesa at Crystal Falls Amd Lts 47 & 48 Blk H;GRAND MESA AT CRYSTAL FALLS;;201100054TR;;
"The Fairways at Crystal Falls (Amd Lots 45 & 46,Blk A)";FAIRWAYS AT CRYSTAL FALLS;;;;
"Grand Mesa at Crystal Falls Amending Lots 12,13 & 14,Blk D";GRAND MESA AT CRYSTAL FALLS;;;;
Grand Mesa at Crystal Falls  Lot 13 Blk A Amd;GRAND MESA AT CRYSTAL FALLS;2020036307;;;
"Lot 9 Blk F Grand Mesa at Crystal Falls 2  Sec 5 Amend Lts 9,10&11 Blk F";GRAND MESA AT CRYSTAL FALLS;;"200700159";;
Lot 33A Grand Mesa at Crystal Falls 2  Sec 6 Amended Lts 33&34 Blk H;GRAND MESA AT CRYSTAL FALLS;;201200041TR;;
Lot 45A Blk H Grand Mesa at Crystal Falls 2  Sec 6 Lt 45 & 46 Blk H Amd;GRAND MESA AT CRYSTAL FALLS;;201400231TR;;
Lots 83 And 84 Blk K Grand Mesa at Crystal Falls 2  Sec 7 Amd;GRAND MESA AT CRYSTAL FALLS;;201500089TR;;
Grand Mesa at Crystal Falls Amd Lts 65-68 Blk E Grand Mesa at Crystal Falls 2  Sec 6;GRAND MESA AT CRYSTAL FALLS;;200900128TR;;
Grand Mesa at Crystal Falls Amd Plt Of Lots 25-27 Blk H Grand Mesa At Crystal Falls 2 Sec 6;GRAND MESA AT CRYSTAL FALLS;;"20100008";;
Replat Of Lots 53-55 Blk H Amended Grand Mesa at Crystal Falls 2  Sec 6;GRAND MESA AT CRYSTAL FALLS;;201200141TR;;
Grand Mesa at Crystal Falls 2 Sec 8 Ph 1;GRAND MESA AT CRYSTAL FALLS;;201500082TR;;
Tylerville Commercial Ph 1 (SD);TYLERVILLE COMMERCIAL;2018019367;;;
US 183/Us 183A;US 183/US 183A;2017058471;;;
Nameless Hollow Condominiums Ph 1-4 Amended;NAMELESS HOLLOW CONDOMINIUMS;;;;
Fairways At Crystal Falls Sec 3 Ph 1 Caprock At Crystal Falls Ph 1;FAIRWAYS AT CRYSTAL FALLS / CAPROCK AT CRYSTAL FALLS;;201000076TR;;
Lot 1 Grand Mesa 2 At Crystal Falls Amended Lots 20&21;GRAND MESA AT CRYSTAL FALLS;;;;
"HEB Leander Subdivision, Lot 1, Blk A 2nd Replat";HEB LEANDER;2015032639;;;
Hawkes Landing Ph 5;HAWKES LANDING;2020159061;;;
Atkin Addition Lots 12 And 13 Block 2 Resub;ATKIN ADDITION;34125;;l;"112"
Lakeline Ranch Ph 5;LAKELINE RANCH;2005013235;;AA;"24"
Hazlewood Ph 6 Lot 52 Blk M;HAZLEWOOD;2021084018;;;
"Atkin Addition To Leander, Texas Amended Plat Of Lots 15 & 16";ATKIN ADDITION;2003034799;;X;"160"
Westview Meadows Ph 5;WESTVIEW MEADOWS;2007097041;;EE;"43"
Pecan Creek Ph 5;PECAN CREEK;2017044846;;;
Allen Reed Acres;LEANDER HEIGHTS;8419985;;F;"49"
Oak Creek Ph 5;OAK CREEK;2015085179;;;
Atkin Addition;ATKIN ADDITION;0;;A;"160"
Alterra;ALTERRA;2018063334;;;
Austin Community College San Gabriel Campus Ph 1;AUSTIN COMMUNITY COLLEGE;2018022962;;;
Boulders At Crystal Falls Ph 6;BOULDERS AT CRYSTAL FALLS;2013108049;;;
Alta Leander Station;ALTA LEANDER STATION;2021029110;;;
1501 Leander Dr Condo (SD);LEANDER HEIGHTS;0;;;
183A Fabcon Addn;183A FABCON ADDN;2008086830;;;"165"
Anderson Commercial;ANDERSON COMMERCIAL;2015072232;;;
Hazlewood Ph 5;HAZLEWOOD;2019106929;;;
Sarita Valley Ph 5;SARITA VALLEY;2017076274;;;
Arroyo Roble;ARROYO ROBLE;2019100054;;;
Sarita Valley Ph 6;THE SARAH APARTMENTS;2017034846;;;
Boulders At Crystal Falls Ph 5;BOULDERS AT CRYSTAL FALLS;2006099831;;;
1607 Tierra Alto Condo;1607 TIERRA ALTO CONDO;2017073617;;;
190 Bagdad Condo;190 BAGDAD CONDO;2018042267;;;
Allen Reed Acres (Lt C Resub);ALLEN REED;9743639;;;
5Ws LP Subdivision;5WS LP SUBDIVISION;2009055392;;GG;"8"
"Bluffs at Crystal Falls Sec 1, Ph 1C Lots 13-15 Blk D Amd.";BLUFFS AT CRYSTAL FALLS;;201200219TR;;
Apple Springs;APPLE SPRINGS;;;;
Lakeline Ranch Ph 4 (Amd);LAKELINE RANCH TOWNHOUSES;2004035010;;Y;"343"
Connellys Crossing 4;CONNELLYS CROSSING;2015034135;;;
Pecan Creek Ph 4;PECAN CREEK;2016029667;;;
Hawkes Landing Ph 4;HAWKES LANDING;2020041739;;;
Westview Meadows Ph 4;WESTVIEW MEADOWS;2007000779;;CC;"330"
Bar W Ranch West Ph 4;BAR W RANCH WEST;2021061439;;;
Rancho Sienna Sec 7;RANCHO SIENNA;2014077627;;;
Horizon Park Sec 7;HORIZON PARK;2003079686;;X;"375"
Lakeline Ranch Ph 7 (Amd);LAKELINE RANCH;2005085682;;AA;"377"
Rancho Sienna Sec 6;RANCHO SIENNA;2014101164;;;
Horizon Park Sec 6;HORIZON PARK;2002090324;;W;"327"
Westwood Sec 6;WESTWOOD;2002045703;;W;"69"
Westwood Sec 7;WESTWOOD;2002045787;;W;"72"
Mason Addition To The Town Of Leander;LISD;0;;A;"24"
Horizon Park Sec 7 Lots 102-109 Amd;HORIZON PARK;2003100391;;Y;"36"
Kittie Hill Acres Tracts 5 And 6 (Amd);KITTIE HILL ACRES;2003080140;;Y;"378"
Oak Creek Ph 5 & 6;RETREAT AT OAK CREEK;2019075564;;;
The Bluffs Of Sandy Creek Sec II;BLUFFS AT SANDY CREEK;;;;
Palmera Ridge Sec 6;PALMERA RIDGE;2020093729;;;
Grand Mesa at Crystal Falls 2 Sect 6 Lots 1 & 2 Blk L Amd;GRAND MESA AT CRYSTAL FALLS;;200800122TR;;
Lot 27A Grand Mesa at Crystal Falls 2 Sec 6 Lt 19 Bk E & Lt 27 Blk K Grand Mesa At Crystal Falls Ii Sec 7 Amd;GRAND MESA AT CRYSTAL FALLS;;201400104TR;;
Bagdad Estates;BAGDAD ESTATES;0;;B;"392"
Bagdad Station Lot 2;BAGDAD STATION;2022012041;;;
Beaucrest Sec 1;GLENWOOD APARTMENTS (AKA BEAUCREST);1987017722;;I;"222"
Bonnet Tract;BONNET TRACT;2020107539;;;
"Bagdad Station, Lot 1 Amended & 4.507 Acres Out Of The Cochran, C. Survey Amended";BAGDAD STATION;2010086951;;;
Blueline Park;BLUELINE PARK;0;;FF;
Bagdad Meadows;BAGDAD MEADOWS;0;;D;"136"
Bagdad Commercial Park Lots 1 And 2 Block A Replat And Tracts 3-5 Of The SJ Dover Survey;BAGDAD COMMERCIAL PARK;2006066832;;;
Aven Ridge;AVEN RIDGE APARTMENTS;2019097078;;;
Bagdad Commercial Park Sec 1;BAGDAD COMMERCIAL PARK;0;;;"205"
Bagdad Plaza Llc;BAGDAD PLAZA LLC;2020007027;;;
Barnett Professional Plaza;BARNETT PROFESSIONAL PLAZA;2021101004;;;
Bagdad Falls Sub Lt 2;BAGDAD FALLS;2011065753;;;
Bagdad Falls Sub Lt 1;BAGDAD FALLS;2008020586;;;210-211
Bee Sting;BEE STING;2021034030;;;
Bar W Ranch Commercial;BAR W RANCH COMMERCIAL;2020096319;;;
Bagdad Station (Unrecorded);BAGDAD STATION (UNRECORDED);0;;;
Baylor Scott & White At Rancho Sienna;SCOTT & WHITE AT RANCHO SIENNA;0;;;
Baker Estates;BAKER ESTATES ;1986043952;;H;394-396
Beaucrest Sec 1;BEAUCREST;1987017722;;I;"222"
Bluffview Ph 2;BLUFFVIEW;2021130349;;;
Bluffview Ph 1;BLUFFVIEW;2020042113;;;
Bar W Ranch West Ph 2;BAR W RANCH WEST;2020135808;;;
Bar W Ranch West Ph 3;BAR W RANCH WEST;2021144194;;;
BORHO Ph 3;TRAILS OF SHADY OAK;2014102229;;;
BORHO Ph 1;TRAILS OF SHADY OAK;2014004381;;;
BORHO Ph 6;TRAILS OF SHADY OAK;2016005490;;;
BORHO Ph 5;TRAILS OF SHADY OAK;2014079128;;;
BORHO Ph 9;TRAILS OF SHADY OAK;2016005422;;;
BORHO Ph 8;TRAILS OF SHADY OAK;2016070719;;;
BORHO Ph 7;TRAILS OF SHADY OAK;2016070584;;;
BORHO Ph 4;TRAILS OF SHADY OAK;2014103675;;;
BORHO Ph 2;TRAILS OF SHADY OAK;2014079039;;;
Family Dollar;CONNIES COMMERCIAL;2004006730;;Y;"199"
Falcon Oaks Sec 2;FALCON OAKS;1983911007;;E;"177"
Cold Springs 1;COLD SPRINGS;2008012705;;EE;"155"
Commerce Commercial;LEANDER HEIGHTS;1997056214;;P;"114"
Cold Springs 3;COLD SPRINGS;2012021835;;;
County Glen Sec 7;COUNTY GLEN;8504233;;F;"314"
Crystal Crossing 1;CRYSTAL CROSSING;2011020824;;;
Connellys Crossing 1B;CONNELLYS CROSSING;2014097942;;;
Deerbrooke Ph 2 Sec 1;DEERBROOKE;2020009559;;;
Estates Of North Creek Ranch Sec 4;ESTATES OF NORTH CREEK RANCH;2004088494;;Z;"231"
El Dorado Village;EL DORADO VILLAGE;9661536;;N;"367"
Cold Springs 5;COLD SPRINGS;2013089271;;;
County Glen Sec 4;COUNTY GLEN;0;;D;"210"
Glory Hill Amd;GLORY HILL;8538186;;G;"264"
Falcon Oaks Sec 3;FALCON OAKS;1983904063;;E;"199"
Friske;FRISKE;8525802;;G;"120"
Falcon Oaks Sec 4;FALCON OAKS;8512418;;F;"351"
County Glen Sec 2;COUNTY GLEN;0;;D;"175"
Enclave At Maya Vista;ENCLAVE AT MAYA VISTA;2017036058;;;
El Dorado Village Lot 2;EL DORADO VILLAGE;2001020347;;U;"112"
Cold Springs 4;COLD SPRINGS;2013005238;;;
Connellys Crossing 3;CONNELLYS CROSSING;2015033986;;;
Falcon Oaks Sec 1;FALCON OAKS;0;;E;"132"
Crystal Crossing 3;CRYSTAL CROSSING;2014003409;;;
County Glen Sec 1;COUNTY GLEN;0;;C;"233"
County Glen Sec 7 Lot 10 And 11;COUNTY GLEN;2001069647;;;"87"
Falcon Oaks Sec 1 Lot 20 Block B Resub;FALCON OAKS ;1982001226;;;
County Glen Sec 8;COUNTY GLEN;8513994;;F;"379"
Dunkley;DUNKLEY;9444867;;L;"150"
Circle Diamond;CIRCLE DIAMOND;2017042198;;;
Catalina Ranch;CATALINA RANCH;2015079778;;;
Crystal Springs Ph 1;CRYSTAL SPRINGS;2018063153;;;
Giddens Weskim Estates Lot 2 Replat;GIDDENS WESKIM ESTATES;2006079099;;CC;"142"
County Glen Sec 5;COUNTY GLEN;8404258;;E;"365"
Deerbrooke Ph 2 Sec 4;DEERBROOKE;2020016685;;;
Enterprise Park;ENTERPRISE PARK;8819198;;J;"138"
Commons At Crystal Falls Lot 2 Replat;COMMONS AT CRYSTAL FALLS;2005019571;;AA;"60"
County Glen Sec 6 - Plat Modification;COUNTY GLEN;0;;;
Cedar Ridge;CEDAR RIDGE APARMENTS;2000041188;;;
Deerbrooke Ph 2 Sec 6;DEERBROOKE;2021108684;;;
Connellys Crossing 2;CONNELLYS CROSSING;2014097116;;;
County Glen Sec 3;COUNTY GLEN;0;;D;"176"
Denton;DENTON;2001025350;;U;"148"
Cold Springs 2;COLD SPRINGS;2012008535;;;
Crystal Crossing 2;CRYSTAL CROSSING;2013015990;;;
Cold Springs 7;COLD SPRINGS;2015004877;;;
Deerbrooke Ph 1;DEERBROOKE;2017023583;;;
Gateway;GATEWAY;2007065635;;DD;"260"
County Glen Sec 6;COUNTY GLEN;8412485;;E;"396"
Giddens Weskim Estates;GIDDENS WESKIM ESTATES;8626816;;H;"250"
Deerbrooke Ph 2 Sec 3;DEERBROOKE;2020011345;;;
Fairways Ph 1 At Crystal Falls 2;FAIRWAYS AT CRYSTAL FALLS;200500112;;;
Estates Of North Creek Ranch Sec 3;ESTATES OF NORTH CREEK RANCH;2003047418;;X;"247"
Cold Springs 6;COLD SPRINGS;2014020708;;;
Creek Meadows Estates;CREEK MEADOW ESTATES;2002024974;;V;"329"
Deerbrooke Ph 2 Sec 5;DEERBROOKE;2020023861;;;
Estates Of North Creek Ranch Sec 1;ESTATES OF NORTH CREEK RANCH;2001056594;;U;"685"
Estates Of North Creek Ranch Sec 2;ESTATES OF NORTH CREEK RANCH;2002015758;;V;"293"
Creek Meadows Estates Lot 12 & 13 Amd;CREEK MEADOW ESTATES;2008061952;;;13-14
County Glen Sec 5 Lot 10 & 11 Blk G Amd;COUNTY GLEN;2008090773;;;"196"
Carneros Ranch Sec 5;CARNEROS RANCH;2021041284;;;
Gabriels Overlook Sec 3;GABRIELS OVERLOOK;2005101291;;;"119"
D&W Sub;D&W;2018053338;;;
Crystal Springs Ph 1 (Blk A Lots 1 & 2 Amd);CRYSTAL SPRINGS;2014095166;;;
Gabriels Overlook Sec 4;GABRIELS OVERLOOK;2005101292;;;"121"
Carneros Ranch Sec 1;CARNEROS RANCH;2014034246;;;
Cantwell Tract (Blk A Lot 3 Replat);CANTRWELL TRACT;2016101167;;;
Commons At Crystal Falls Lot 3 Amd;COMMONS AT CRYSTAL FALLS;2015004694;;;
Fairways At Crystal Falls Sec 2 Lots 1 & 2 Blk B Amd;FAIRWAYS AT CRYSTAL FALLS;20130988788;;;
Gateway Sub Lot 11 Replat;GATEWAY;2016111515;;;
Carneros Ranch Sec 3  (Lt 1 Blk C Amd);CARNEROS RANCH;2017009385;;;
Crystal Falls Town Center Sec 1 Lot 4 Blk A Replat;CRYSTAL FALLS TOWN CENTER;2020016825;;;
Crystal Falls Town Center Sec 1 Lot 3 Blk A Replat;CRYSTAL FALLS TOWN CENTER;2016030857;;;
Eaton Sub;EATON SUB;2012063429;;;
Crystal Springs Ph 1 (Blk A Lots 1 & 2 Amd);CRYSTAL SPRINGS;2014095166;;;
Adjacent - Gabriels Overlook Sec 1;GABRIELS OVERLOOK;2000025623;;;"218"
Carneros Ranch Sec 7 (Carneros Village-22 North Mf);CARNEROS VILLAGE APPARMENTS (22 NORTH);2016058711;;;
Carneros Ranch Sec 4;CARNEROS RANCH;2019006569;;;
Boulders At Crystal Falls Ph 2;BOULDERS AT CRYSTAL FALLS;2003099537;;;
Boulders At Crystal Falls Ph 4;BOULDERS AT CRYSTAL FALLS;2005064367;;;
Boulders At Crystal Falls Ph 3;BOULDERS AT CRYSTAL FALLS;2003102342;;;
Boulders At Crystal Falls Ph 1;BOULDERS AT CRYSTAL FALLS;2002086149;;;
Carneros Ranch Sec 2;CARNEROS RANCH;2016030750;;;
Carneros Ranch Sec 8;CARNEROS RANCH;2018108914;;;
Carneros Ranch Sec 3;CARNEROS RANCH;2015105660;;;
Bryson Ph 7 & Ph 13;BRYSON;2017013968;;;
Cantwell Tract Subd Replat;CANTRWELL TRACT;2016101167;;;
"City Of Leander (Resub Lts 1, 2, 3, & 4 Blk 10)";CITY OF LEANDER;9639082;;;
Crystal Falls Arbor Condo;CRYSTAL FALLS ARBOR CONDO;0;;;
"Crystal Springs, Ph 2 Condominiums";CRYSTAL SPRINGS CONDOS;0;;;
Cottages At Deerbrooke Condo;COTTAGES AT DEERBROOKE CONDO;2021044676;;;
Crystal Falls Commercial Condo;CRYSTAL FALLS COMMERCIAL CONDO;0;;;
Gabriel Cove;GABRIEL COVE;1973009601;;;
Cherry Acres;CHERRY ACRES;;;;
Chaparral Woods Condos;CHAPARRAL WOODS CONDOS;;"2017119247";;
Elementary School No 883;ELEMENTARY SCHOOL NO 883;1990018827;;J;"314"
Deerbrooke Ph 2 Sec 7;DEERBROOKE;2021143498;;;
Connellys Crossing 1A;CONNELLYS CROSSING;2012084407;;;
Capital Metro;CAPITAL METRO;2004039382;;Y;"364"
"Crystal Springs, Ph 1 Condominiums";CRYSTAL SPRINGS CONDOS;0;;;
"Crystal Springs, Ph 3 Condominiums";CRYSTAL SPRINGS CONDOS;0;;;
Deerbrooke Ph 2 Sec 5 (Deerbrooke Cottages I);DEERBROOKE COTTAGES 1;2020023861;;;
Deerbrooke Ph 2 Sec 6;DEERBROOKE COTTAGES 2;2021108684;;;
The Enclave at Stewart Crossing;ENCLAVE AT STEWART CROSSING;2023007419;;;
Cottages At San Gabriel;COTTAGES AT SAN GABRIEL;2022106012;;;
Bryson Ph 7 & Ph 13;BRYSON;2017013968;;;
Carneros Ranch Sec 6;CARNEROS RANCH;2023058849;;;
DMR 1;DMR 1;2013035158;;;
DMR 2;DMR 2;2013067649;;;
Bryson Ridge;BRYSON;2019083446;;;
Grand Mesa 4 At Crystal Falls 2;GRAND MESA AT CRYSTAL FALLS;200500008;"2005003476";;
Grand Mesa At Crystal Falls;GRAND MESA AT CRYSTAL FALLS;200000019;"2000005329";;
Grand Mesa at Crystal Falls 2 Sec 5 Lots 100&101A Blk E Amended;GRAND MESA AT CRYSTAL FALLS;;"202000128";;
Grand Mesa at Crystal Falls 2 Sec 5 Lots 1 & 2 Blk C Amended;GRAND MESA AT CRYSTAL FALLS;;201200011TR;;
Grand Mesa 3-A at Crystal Falls;GRAND MESA AT CRYSTAL FALLS;;;;
Grand Mesa at Crystal Falls 2 Sec 5 Amd Lts 2 & 3 Blk G;GRAND MESA AT CRYSTAL FALLS;;"201600274";;
Grand Mesa 3 at Crystal Falls;GRAND MESA AT CRYSTAL FALLS;;;;
Grand Mesa at Crystal Falls 2 Sec 5 Lots 86-88 Blk E Amended;GRAND MESA AT CRYSTAL FALLS;;201100185TR;;
Grand Mesa at Crystal Falls 2 Sec 5 Amd Lts  16 & 17 Blk H;GRAND MESA AT CRYSTAL FALLS;;201400287TR;;
Grand Mesa at Crystal Falls 2 Sec 5;GRAND MESA AT CRYSTAL FALLS;200600041;;;
Grand Mesa at Crystal Falls 2;GRAND MESA AT CRYSTAL FALLS;200100236;"200600041";;
Grand Mesa at Crystal Falls 2 Sec 7;GRAND MESA AT CRYSTAL FALLS;;201300054TR;;
Grand Mesa at Crystal Falls 2 Sec 7 Amd Lts 60-62 Blk H;GRAND MESA AT CRYSTAL FALLS;;"201500261";;
Grand Mesa at Crystal Falls 2 Sec 6;GRAND MESA AT CRYSTAL FALLS;;200800122TR;;
Grand Mesa at Crystal Falls 2 Sec 8 Ph 2;GRAND MESA AT CRYSTAL FALLS;;"201800051";;
"Grand Mesa at Crystal Falls 2 Sec 7 Amd Lts 83 & 84 Blk K Lts 84A, 84B, 84C Replat";GRAND MESA AT CRYSTAL FALLS;;"201900128";;
Grand Mesa at Crystal Falls 2 Sec 7 Lt 21 Blk K Amd;GRAND MESA AT CRYSTAL FALLS;;"202000010";;
Grand Mesa at Crystal Falls 2 Sec 5 Amd Lts 138 & 139 Blk E;GRAND MESA AT CRYSTAL FALLS;;"201700074";;
Arroyo Roble;ARROYO ROBLE;2019100054;;;
Travisso Ph 4 Sec 6A;TRAVISSO;202300029;;N/A;N/A
Palmera Bluff Sec 6;PALMERA BLUFF;2022120510;;;
PEC Data Center;PEC DATA CENTER;2021175435;;;
The Square at Crystal Falls;THE SQUARE AT CRYSTAL FALLS;2022086492;;;
Hawkes Landing North Ph 2;HAWKES LANDING NORTH;2023054322;;;
Devine Lake Ph 4;DEVINE LAKE;2023058656;;;
Hidden Mesa;HIDDEN MESA;1972002962;;B;"274"
Hidden Mesa Lot 69 1St Resub;HIDDEN MESA;8534455;;G;"233"
Hidden Mesa Lot 70 Amd;HIDDEN MESA;2008074563;;;
Hidden Mesa Lot 80 Replat;HIDDEN MESA;2013016480;;;
Hidden Mesa Subd Resub Of Lot 42;HIDDEN MESA;;"201300172";;
Hidden Mesa Lot 49A & 49B Replat;HIDDEN MESA;201800148;;;
"Travisso PH 3, Sec 1,3 & 4 Reclaim Water Irrigation and Landscaping";TRAVISSO;;;N/A;N/A
Travisso Ph 5 Sec 1 Reclaimed Irrigation and Landscaping;TRAVISSO;;;;
Bryson Ridge Retail Subdivision;BRYSON RIDGE RETAIL SUBDIVISION;;;;
Horizon Lake Ph 4 Sec 2;HORIZON LAKE;2022019283;;;
"Bryson Ph 8, 9 & 12";BRYSON;2022070144;;;
Lively Ph 3;LIVELY TRACT;2022110315;;;
Bryson Ph 5/1;BRYSON;2022036521;;;
Shops at Hero Way;SHOPS AT HERO WAY;;;;
HERO WAY MEDICAL ADDITION;HERO WAY MEDICAL OFFICE PARK;2021142033;;N/A;N/A
Crystal Village Ph 1;CRYSTAL VILLAGE;2022037371;N/A;N/A;N/A
Cedar Brook ;CEDAR BROOK;2023007090;;;
Bar W Ranch West Ph 7;BAR W RANCH WEST;2023077145;;;
Bryson Ph 15 Jordan Tract;BRYSON;2023034384;;;
"Leander Heights, Sec 2, Lots 6A-1, 6B-1 & 6C-1, Blk A Amd Replat";Leander Heights;2021142735;;;
Travisso Ph 4 Sec 6B;Travisso;202300151;;N/A;N/A
Lively Ph 4;LIVELY TRACT;2023099454;;;
